"","player1","player2","win1","win2"
"393","Amanda Anisimova","Karolina Pliskova",0,2
"394","Amanda Anisimova","Katrina Scott",1,0
"395","Amanda Anisimova","Magda Linette",1,1
"396","Amanda Anisimova","Maria Sakkari",0,1
"397","Amanda Anisimova","Oceane Dodin",1,0
"398","Amanda Anisimova","Qiang Wang",1,0
"399","Amanda Anisimova","Shelby Rogers",0,1
"400","Amanda Anisimova","Sloane Stephens",1,0
"401","Amanda Anisimova","Tereza Martincova",1,0
"402","Amanda Anisimova","Veronika Kudermetova",0,1
"403","Amanda Anisimova","Viktorija Golubic",1,0
"404","Amanda Anisimova","Zarina Diyas",1,0
"405","Amandine Hesse","Jessica Pegula",0,1
"406","Amandine Hesse","Vera Zvonareva",0,1
"407","An Sophie Mestach","Irina Camelia Begu",0,1
"408","Ana Bogdan","Anastasia Pavlyuchenkova",0,1
"409","Ana Bogdan","Anastasija Sevastova",1,1
"410","Ana Bogdan","Ashleigh Barty",0,1
"411","Ana Bogdan","Barbora Krejcikova",1,0
"412","Ana Bogdan","Danielle Collins",0,1
"413","Ana Bogdan","Elisabetta Cocciaretto",1,0
"414","Ana Bogdan","Emma Raducanu",0,1
"415","Ana Bogdan","Heather Watson",1,0
"416","Ana Bogdan","Ivana Jorovic",1,0
"417","Ana Bogdan","Kamilla Rakhimova",1,0
"418","Ana Bogdan","Kateryna Baindl",0,1
"419","Ana Bogdan","Marketa Vondrousova",0,1
"420","Ana Bogdan","Nao Hibino",1,0
"421","Ana Bogdan","Naomi Osaka",1,0
"422","Ana Bogdan","Panna Udvardy",1,0
"423","Ana Bogdan","Paula Badosa",0,1
"424","Ana Bogdan","Sara Errani",0,1
"425","Ana Bogdan","Varvara Gracheva",0,1
"426","Ana Bogdan","Varvara Lepchenko",1,0
"427","Ana Bogdan","Veronika Kudermetova",0,1
"428","Ana Bogdan","Zarina Diyas",0,1
"429","Ana Ivanovic","Anastasia Pavlyuchenkova",1,0
"430","Ana Ivanovic","Andrea Petkovic",1,0
"431","Ana Ivanovic","Angelique Kerber",2,2
"432","Ana Ivanovic","Anna Tatishvili",1,0
"433","Ana Ivanovic","Annika Beck",1,0
"434","Ana Ivanovic","Ayumi Morita",0,1
"435","Ana Ivanovic","Bethanie Mattek Sands",1,0
"436","Ana Ivanovic","Chanelle Scheepers",1,0
"437","Ana Ivanovic","Christina Mchale",1,0
"438","Ana Ivanovic","Coco Vandeweghe",1,0
"439","Ana Ivanovic","Dominika Cibulkova",2,0
"440","Ana Ivanovic","Elena Vesnina",0,2
"441","Ana Ivanovic","Elina Svitolina",1,0
"442","Ana Ivanovic","Eugenie Bouchard",0,1
"443","Ana Ivanovic","Flavia Pennetta",2,0
"444","Ana Ivanovic","Francesca Schiavone",1,0
"445","Ana Ivanovic","Jelena Jankovic",1,0
"446","Ana Ivanovic","Klara Koukalova",1,0
"447","Ana Ivanovic","Laura Robson",1,0
"448","Ana Ivanovic","Maria Sharapova",0,2
"449","Ana Ivanovic","Marta Sirotkina",1,0
"450","Ana Ivanovic","Mathilde Johansson",1,0
"451","Ana Ivanovic","Melinda Czink",1,0
"452","Ana Ivanovic","Mona Barthel",1,1
"453","Ana Ivanovic","Na Li",0,1
"454","Ana Ivanovic","Nadia Petrova",1,0
"455","Ana Ivanovic","Petra Kvitova",0,1
"456","Ana Ivanovic","Petra Martic",1,0
"457","Ana Ivanovic","Polona Hercog",0,1
"458","Ana Ivanovic","Roberta Vinci",1,0
"459","Ana Ivanovic","Samantha Stosur",1,1
"460","Ana Ivanovic","Sara Errani",0,1
"461","Ana Ivanovic","Simona Halep",1,1
"462","Ana Ivanovic","Stefanie Voegele",1,0
"463","Ana Ivanovic","Su Wei Hsieh",1,0
"464","Ana Ivanovic","Svetlana Kuznetsova",1,0
"465","Ana Ivanovic","Tamira Paszek",1,0
"466","Ana Ivanovic","Taylor Townsend",1,0
"467","Ana Ivanovic","Timea Babos",0,1
"468","Ana Ivanovic","Tsvetana Pironkova",1,0
"469","Ana Ivanovic","Urszula Radwanska",1,1
"470","Ana Ivanovic","Victoria Azarenka",0,2
"471","Ana Ivanovic","Virginie Razzano",2,0
"472","Ana Ivanovic","Yanina Wickmayer",1,0
"473","Ana Ivanovic","Yung Jan Chan",1,0
"474","Ana Konjuh","Anastasia Pavlyuchenkova",0,1
"475","Ana Konjuh","Anastasija Sevastova",0,1
"476","Ana Konjuh","Anna Karolina Schmiedlova",1,0
"477","Ana Konjuh","Aryna Sabalenka",0,1
"478","Ana Konjuh","Camila Osorio",1,0
"479","Ana Konjuh","Danielle Collins",0,1
"480","Ana Konjuh","Donna Vekic",1,0
"481","Ana Konjuh","Iga Swiatek",1,0
"482","Ana Konjuh","Jasmine Paolini",1,0
"483","Ana Konjuh","Katerina Siniakova",1,0
"484","Ana Konjuh","Kristina Mladenovic",0,1
"485","Ana Konjuh","Leylah Fernandez",0,1
"486","Ana Konjuh","Madison Keys",1,0
"487","Ana Konjuh","Marie Bouzkova",1,0
"488","Ana Konjuh","Marta Kostyuk",0,1
"489","Ana Konjuh","Nadia Podoroska",1,0
"490","Ana Konjuh","Paula Badosa",0,1
"491","Ana Konjuh","Qiang Wang",1,0
"492","Ana Konjuh","Sara Errani",1,1
"493","Ana Konjuh","Sara Sorribes Tormo",0,1
"494","Ana Konjuh","Shuai Zhang",1,0
"495","Ana Konjuh","Sofia Kvatsabaia",1,0
"496","Ana Konjuh","Tamara Zidansek",0,1
"497","Ana Konjuh","Tereza Mrdeza",1,0
"498","Ana Konjuh","Urszula Radwanska",2,0
"499","Ana Konjuh","Yulia Putintseva",1,1
"500","Ana Sofia Sanchez","Timea Babos",0,1
"501","Ana Veselinovic","Jelena Ostapenko",0,1
"502","Anabel Medina Garrigues","Anastasia Pavlyuchenkova",0,1
